zone,town/village,area_type,agriculture,"services(transport,hospital,water supply,education,market)"
Bhaniyawala,yes,residential,yes,1
Bhaniyawala,yes,residential,yes,5
Bhaniyawala,yes,residential,yes,4
Bhaniyawala,yes,residential,yes,3
Bhaniyawala,yes,residential,yes,2
Bhaniyawala,yes,residential,yes,1
Bhaniyawala,yes,residential,yes,0
Bhaniyawala,yes,residential,no,1
Bhaniyawala,yes,residential,no,5
Bhaniyawala,yes,residential,no,4
Bhaniyawala,yes,residential,no,3
Bhaniyawala,yes,residential,no,2
Bhaniyawala,yes,residential,no,1
Bhaniyawala,yes,residential,no,0
Bhaniyawala,yes,commercial,yes,1
Bhaniyawala,yes,commercial,yes,5
Bhaniyawala,yes,commercial,yes,4
Bhaniyawala,yes,commercial,yes,3
Bhaniyawala,yes,commercial,yes,2
Bhaniyawala,yes,commercial,yes,1
Bhaniyawala,yes,commercial,yes,0
Bhaniyawala,yes,commercial,no,1
Bhaniyawala,yes,commercial,no,5
Bhaniyawala,yes,commercial,no,4
Bhaniyawala,yes,commercial,no,3
Bhaniyawala,yes,commercial,no,2
Bhaniyawala,yes,commercial,no,1
Bhaniyawala,yes,commercial,no,0
Bhaniyawala,no,residential,yes,1
Bhaniyawala,no,residential,yes,5
Bhaniyawala,no,residential,yes,4
Bhaniyawala,no,residential,yes,3
Bhaniyawala,no,residential,yes,2
Bhaniyawala,no,residential,yes,1
Bhaniyawala,no,residential,yes,0
Bhaniyawala,no,residential,no,1
Bhaniyawala,no,residential,no,5
Bhaniyawala,no,residential,no,4
Bhaniyawala,no,residential,no,3
Bhaniyawala,no,residential,no,2
Bhaniyawala,no,residential,no,1
Bhaniyawala,no,residential,no,0
Bhaniyawala,no,commercial,yes,1
Bhaniyawala,no,commercial,yes,5
Bhaniyawala,no,commercial,yes,4
Bhaniyawala,no,commercial,yes,3
Bhaniyawala,no,commercial,yes,2
Bhaniyawala,no,commercial,yes,1
Bhaniyawala,no,commercial,yes,0
Bhaniyawala,no,commercial,no,1
Bhaniyawala,no,commercial,no,5
Bhaniyawala,no,commercial,no,4
Bhaniyawala,no,commercial,no,3
Bhaniyawala,no,commercial,no,2
Bhaniyawala,no,commercial,no,1
Bhaniyawala,no,commercial,no,0
Bhauwala,yes,residential,yes,1
Bhauwala,yes,residential,yes,5
Bhauwala,yes,residential,yes,4
Bhauwala,yes,residential,yes,3
Bhauwala,yes,residential,yes,2
Bhauwala,yes,residential,yes,1
Bhauwala,yes,residential,yes,0
Bhauwala,yes,residential,no,1
Bhauwala,yes,residential,no,5
Bhauwala,yes,residential,no,4
Bhauwala,yes,residential,no,3
Bhauwala,yes,residential,no,2
Bhauwala,yes,residential,no,1
Bhauwala,yes,residential,no,0
Bhauwala,yes,commercial,yes,1
Bhauwala,yes,commercial,yes,5
Bhauwala,yes,commercial,yes,4
Bhauwala,yes,commercial,yes,3
Bhauwala,yes,commercial,yes,2
Bhauwala,yes,commercial,yes,1
Bhauwala,yes,commercial,yes,0
Bhauwala,yes,commercial,no,1
Bhauwala,yes,commercial,no,5
Bhauwala,yes,commercial,no,4
Bhauwala,yes,commercial,no,3
Bhauwala,yes,commercial,no,2
Bhauwala,yes,commercial,no,1
Bhauwala,yes,commercial,no,0
Bhauwala,no,residential,yes,1
Bhauwala,no,residential,yes,5
Bhauwala,no,residential,yes,4
Bhauwala,no,residential,yes,3
Bhauwala,no,residential,yes,2
Bhauwala,no,residential,yes,1
Bhauwala,no,residential,yes,0
Bhauwala,no,residential,no,1
Bhauwala,no,residential,no,5
Bhauwala,no,residential,no,4
Bhauwala,no,residential,no,3
Bhauwala,no,residential,no,2
Bhauwala,no,residential,no,1
Bhauwala,no,residential,no,0
Bhauwala,no,commercial,yes,1
Bhauwala,no,commercial,yes,5
Bhauwala,no,commercial,yes,4
Bhauwala,no,commercial,yes,3
Bhauwala,no,commercial,yes,2
Bhauwala,no,commercial,yes,1
Bhauwala,no,commercial,yes,0
Bhauwala,no,commercial,no,1
Bhauwala,no,commercial,no,5
Bhauwala,no,commercial,no,4
Bhauwala,no,commercial,no,3
Bhauwala,no,commercial,no,2
Bhauwala,no,commercial,no,1
Bhauwala,no,commercial,no,0
Dakpatthar,yes,residential,yes,1
Dakpatthar,yes,residential,yes,5
Dakpatthar,yes,residential,yes,4
Dakpatthar,yes,residential,yes,3
Dakpatthar,yes,residential,yes,2
Dakpatthar,yes,residential,yes,1
Dakpatthar,yes,residential,yes,0
Dakpatthar,yes,residential,no,1
Dakpatthar,yes,residential,no,5
Dakpatthar,yes,residential,no,4
Dakpatthar,yes,residential,no,3
Dakpatthar,yes,residential,no,2
Dakpatthar,yes,residential,no,1
Dakpatthar,yes,residential,no,0
Dakpatthar,yes,commercial,yes,1
Dakpatthar,yes,commercial,yes,5
Dakpatthar,yes,commercial,yes,4
Dakpatthar,yes,commercial,yes,3
Dakpatthar,yes,commercial,yes,2
Dakpatthar,yes,commercial,yes,1
Dakpatthar,yes,commercial,yes,0
Dakpatthar,yes,commercial,no,1
Dakpatthar,yes,commercial,no,5
Dakpatthar,yes,commercial,no,4
Dakpatthar,yes,commercial,no,3
Dakpatthar,yes,commercial,no,2
Dakpatthar,yes,commercial,no,1
Dakpatthar,yes,commercial,no,0
Dakpatthar,no,residential,yes,1
Dakpatthar,no,residential,yes,5
Dakpatthar,no,residential,yes,4
Dakpatthar,no,residential,yes,3
Dakpatthar,no,residential,yes,2
Dakpatthar,no,residential,yes,1
Dakpatthar,no,residential,yes,0
Dakpatthar,no,residential,no,1
Dakpatthar,no,residential,no,5
Dakpatthar,no,residential,no,4
Dakpatthar,no,residential,no,3
Dakpatthar,no,residential,no,2
Dakpatthar,no,residential,no,1
Dakpatthar,no,residential,no,0
Dakpatthar,no,commercial,yes,1
Dakpatthar,no,commercial,yes,5
Dakpatthar,no,commercial,yes,4
Dakpatthar,no,commercial,yes,3
Dakpatthar,no,commercial,yes,2
Dakpatthar,no,commercial,yes,1
Dakpatthar,no,commercial,yes,0
Dakpatthar,no,commercial,no,1
Dakpatthar,no,commercial,no,5
Dakpatthar,no,commercial,no,4
Dakpatthar,no,commercial,no,3
Dakpatthar,no,commercial,no,2
Dakpatthar,no,commercial,no,1
Dakpatthar,no,commercial,no,0
Doiwala,yes,residential,yes,1
Doiwala,yes,residential,yes,5
Doiwala,yes,residential,yes,4
Doiwala,yes,residential,yes,3
Doiwala,yes,residential,yes,2
Doiwala,yes,residential,yes,1
Doiwala,yes,residential,yes,0
Doiwala,yes,residential,no,1
Doiwala,yes,residential,no,5
Doiwala,yes,residential,no,4
Doiwala,yes,residential,no,3
Doiwala,yes,residential,no,2
Doiwala,yes,residential,no,1
Doiwala,yes,residential,no,0
Doiwala,yes,commercial,yes,1
Doiwala,yes,commercial,yes,5
Doiwala,yes,commercial,yes,4
Doiwala,yes,commercial,yes,3
Doiwala,yes,commercial,yes,2
Doiwala,yes,commercial,yes,1
Doiwala,yes,commercial,yes,0
Doiwala,yes,commercial,no,1
Doiwala,yes,commercial,no,5
Doiwala,yes,commercial,no,4
Doiwala,yes,commercial,no,3
Doiwala,yes,commercial,no,2
Doiwala,yes,commercial,no,1
Doiwala,yes,commercial,no,0
Doiwala,no,residential,yes,1
Doiwala,no,residential,yes,5
Doiwala,no,residential,yes,4
Doiwala,no,residential,yes,3
Doiwala,no,residential,yes,2
Doiwala,no,residential,yes,1
Doiwala,no,residential,yes,0
Doiwala,no,residential,no,1
Doiwala,no,residential,no,5
Doiwala,no,residential,no,4
Doiwala,no,residential,no,3
Doiwala,no,residential,no,2
Doiwala,no,residential,no,1
Doiwala,no,residential,no,0
Doiwala,no,commercial,yes,1
Doiwala,no,commercial,yes,5
Doiwala,no,commercial,yes,4
Doiwala,no,commercial,yes,3
Doiwala,no,commercial,yes,2
Doiwala,no,commercial,yes,1
Doiwala,no,commercial,yes,0
Doiwala,no,commercial,no,1
Doiwala,no,commercial,no,5
Doiwala,no,commercial,no,4
Doiwala,no,commercial,no,3
Doiwala,no,commercial,no,2
Doiwala,no,commercial,no,1
Doiwala,no,commercial,no,0
Herbertpur,yes,residential,yes,1
Herbertpur,yes,residential,yes,5
Herbertpur,yes,residential,yes,4
Herbertpur,yes,residential,yes,3
Herbertpur,yes,residential,yes,2
Herbertpur,yes,residential,yes,1
Herbertpur,yes,residential,yes,0
Herbertpur,yes,residential,no,1
Herbertpur,yes,residential,no,5
Herbertpur,yes,residential,no,4
Herbertpur,yes,residential,no,3
Herbertpur,yes,residential,no,2
Herbertpur,yes,residential,no,1
Herbertpur,yes,residential,no,0
Herbertpur,yes,commercial,yes,1
Herbertpur,yes,commercial,yes,5
Herbertpur,yes,commercial,yes,4
Herbertpur,yes,commercial,yes,3
Herbertpur,yes,commercial,yes,2
Herbertpur,yes,commercial,yes,1
Herbertpur,yes,commercial,yes,0
Herbertpur,yes,commercial,no,1
Herbertpur,yes,commercial,no,5
Herbertpur,yes,commercial,no,4
Herbertpur,yes,commercial,no,3
Herbertpur,yes,commercial,no,2
Herbertpur,yes,commercial,no,1
Herbertpur,yes,commercial,no,0
Herbertpur,no,residential,yes,1
Herbertpur,no,residential,yes,5
Herbertpur,no,residential,yes,4
Herbertpur,no,residential,yes,3
Herbertpur,no,residential,yes,2
Herbertpur,no,residential,yes,1
Herbertpur,no,residential,yes,0
Herbertpur,no,residential,no,1
Herbertpur,no,residential,no,5
Herbertpur,no,residential,no,4
Herbertpur,no,residential,no,3
Herbertpur,no,residential,no,2
Herbertpur,no,residential,no,1
Herbertpur,no,residential,no,0
Herbertpur,no,commercial,yes,1
Herbertpur,no,commercial,yes,5
Herbertpur,no,commercial,yes,4
Herbertpur,no,commercial,yes,3
Herbertpur,no,commercial,yes,2
Herbertpur,no,commercial,yes,1
Herbertpur,no,commercial,yes,0
Herbertpur,no,commercial,no,1
Herbertpur,no,commercial,no,5
Herbertpur,no,commercial,no,4
Herbertpur,no,commercial,no,3
Herbertpur,no,commercial,no,2
Herbertpur,no,commercial,no,1
Herbertpur,no,commercial,no,0
